"타임스탬프","1. 강의시작과 종료시간을 잘 맞추어서 진행하고 있습니까? ","2. 결강이 있었다면 보충은 잘 이루어지고 있습니까?","3. 시연회 진행 시, 검사와 피드백을 잘 해주시고 있습니까? ","4. 강의시간에 강의나 해당 업무와 관련없는 이야기를 많이 하는 편입니까? ","5. 과제 검사 및 체크는 잘 이루어지고 있습니까? ","6. 과제풀이는 빠짐없이 이루어지고 있습니까? ","7. 과제의 내용이 학습에 도움이 되고 있습니까? ","8. 강의와 관련된 질문 시, 질문에 답을 잘 해주고 계십니까? ","9. 강의 이해가 잘 되도록 설명을 해주고 계십니까? ","10. 수업 진행 속도의 적절성을 평가해 주십시요. ","11. 강의 준비는 잘 이루어지고 있습니까? ","12. 상담진행이나 잘 이루어지고 있습니까? ","13. 강의의 만족도를 전체적으로 평가해주세요. ","14. 운영부에 요청한 학원 시설이나 교육장비관련 요청은 신속히 처리되었나요? ","15.운영부에 요청한 업무를 친절하게 처리해주셨나요? ","16. 담당 선생님께 전달하고 싶은 이야기가 있나요? ","17. 원장 선생님께 전달하고 싶은 이야기가 있나요? ","18. 기수 내 공부 분위기를 흐리거나, 불화유발 및 쥬신 교칙위반 행위를 일으키는 학생이 있나요? ","19. 쥬신에 건의사항이 있나요? ","20. 위 문항들을 제외한 또 다른 문항이 필요하다고 생각되면 작성해주세요. "
"2018/06/07 3:58:01 오후 GMT+9","매우 그렇습니다.","매우 그렇습니다.","빠짐없이 꼼꼼하게 수행되고 있습니다.","매우 그렇지 않습니다.","매우 그렇습니다.","매우 그렇습니다.","매우 그렇습니다.","매우 그렇습니다.","매우 그렇습니다.","매우 적당합니다.","매우 그렇습니다.","매우 그렇습니다.","매우 좋습니다.","매우 그렇습니다.","매우 그렇습니다.","주석을 많이 달아주시면 복습할때  더 좋을꺼 같습니다","신경써주셔서 감사합니다","아니요","아니요","없습니다"
"2018/06/07 3:58:46 오후 GMT+9","매우 그렇습니다.","매우 그렇습니다.","빠짐없이 꼼꼼하게 수행되고 있습니다.","매우 그렇지 않습니다.","매우 그렇습니다.","매우 그렇습니다.","매우 그렇습니다.","매우 그렇습니다.","매우 그렇습니다.","매우 적당합니다.","매우 그렇습니다.","매우 그렇습니다.","매우 좋습니다.","보통이다","매우 그렇습니다.","잘배우고 있습니다.","개인 사물함이 절실하게 필요합니다~","없습니다.","없습니다.","없습니다."
"2018/06/07 3:59:46 오후 GMT+9","매우 그렇습니다.","매우 그렇습니다.","빠짐없이 꼼꼼하게 수행되고 있습니다.","매우 그렇지 않습니다.","매우 그렇습니다.","매우 그렇습니다.","매우 그렇습니다.","매우 그렇습니다.","매우 그렇습니다.","매우 적당합니다.","매우 그렇습니다.","매우 그렇습니다.","매우 좋습니다.","매우 그렇습니다.","매우 그렇습니다.","사랑합니다","개인 사물함이 절실하게 필요합니다","없습니다","없습니다","네"
"2018/06/07 4:00:23 오후 GMT+9","그렇습니다.","매우 그렇습니다.","적절히 수행되고 있습니다.","그렇지 않습니다.","그렇습니다.","매우 그렇습니다.","매우 그렇습니다.","매우 그렇습니다.","매우 그렇습니다.","매우 적당합니다.","그렇습니다.","그렇습니다.","매우 좋습니다.","보통이다","매우 그렇습니다.","항상 감사합니다.","원장님 ㅋㅋㅋ 개인사물함은 언제쯤 가능할까용?",".","자습실이좀 시끄러워요 ㅠㅠ,  그리고 자습실에 고장난 의자들이 좀 있네요 ㅠㅠ","."
"2018/06/07 4:01:07 오후 GMT+9","보통입니다.","매우 그렇습니다.","적절히 수행되고 있습니다.","매우 그렇지 않습니다.","보통이다","매우 그렇습니다.","매우 그렇습니다.","매우 그렇습니다.","매우 그렇습니다.","적당합니다","그렇습니다.","매우 그렇습니다.","매우 좋습니다.","매우 그렇습니다.","매우 그렇습니다.","최고의 강의입니다... 존경합니다... 진작 왔어야 했는데... ","매번 불편함 없게 공부할 수 있게 해주셔서 감사합니다.","잘 모르겠습니다.","자습실에 항상 자리 맡아놓는 학생들 때문에 빈 자리가 많음에도 돌아가는 경우가 종종 있습니다. 자리 맡아놓는 문화가 사라졌으면 좋겠습니다.","없습니다~"
"2018/06/07 4:01:21 오후 GMT+9","그렇습니다.","그렇습니다.","적절히 수행되고 있습니다.","그렇지 않습니다.","그렇습니다.","보통이다","그렇습니다.","그렇습니다.","그렇습니다.","적당합니다","그렇습니다.","그렇습니다.","좋습니다.","그렇습니다.","그렇습니다.","X","X","X","X","X"
"2018/06/07 4:02:02 오후 GMT+9","그렇습니다.","매우 그렇습니다.","빠짐없이 꼼꼼하게 수행되고 있습니다.","매우 그렇지 않습니다.","그렇습니다.","그렇습니다.","그렇습니다.","매우 그렇습니다.","매우 그렇습니다.","살짝 느리거나 빠르지만 따라갈만 합니다.","매우 그렇습니다.","매우 그렇습니다.","매우 좋습니다.","매우 그렇습니다.","매우 그렇습니다.","없습니다","없습니다.","없습니다.","개인 사물함이 필요해요","없습니다."
"2018/06/07 4:02:07 오후 GMT+9","매우 그렇습니다.","매우 그렇습니다.","빠짐없이 꼼꼼하게 수행되고 있습니다.","매우 그렇지 않습니다.","매우 그렇습니다.","매우 그렇습니다.","매우 그렇습니다.","매우 그렇습니다.","매우 그렇습니다.","매우 적당합니다.","매우 그렇습니다.","매우 그렇습니다.","매우 좋습니다.","매우 그렇습니다.","매우 그렇습니다.","설명에대한 주석좀더많이달아주세요ㅜㅜ","없습니다","없습니다","없습니다","없습니다"
"2018/06/07 4:03:04 오후 GMT+9","매우 그렇습니다.","매우 그렇습니다.","빠짐없이 꼼꼼하게 수행되고 있습니다.","매우 그렇지 않습니다.","매우 그렇습니다.","매우 그렇습니다.","매우 그렇습니다.","매우 그렇습니다.","매우 그렇습니다.","매우 적당합니다.","매우 그렇습니다.","매우 그렇습니다.","매우 좋습니다.","보통이다","매우 그렇습니다.","감사합니다","개인사물함 부탁드려요",".","출석카드 리더기 2층에도 설치 가능할까요?",".."
"2018/06/07 4:06:30 오후 GMT+9","매우 그렇습니다.","매우 그렇습니다.","빠짐없이 꼼꼼하게 수행되고 있습니다.","매우 그렇지 않습니다.","매우 그렇습니다.","매우 그렇습니다.","매우 그렇습니다.","매우 그렇습니다.","매우 그렇습니다.","매우 적당합니다.","매우 그렇습니다.","매우 그렇습니다.","매우 좋습니다.","매우 그렇습니다.","매우 그렇습니다.","강의의 완급을 조절하기가 무척 어려우실텐데, 학생의 입장에서 생각해 주시는 것이 항상 감사합니다.
예제와 실습 위주로 확실하게 지도해주셔서 좋고, 어려운 부분은 더 자세하고 천천히 짚어주시기 때문에, 아주 이해가 잘 됩니다.","""교육자""라는 호가 아깝지 않으십니다. 항상 학생들을 생각해주시고, 물심양면으로 도와주시는 모습을 보면, 존경심이 안날 수가 없습니다.
스스로를 교육자라 칭하지만, 그렇지 못한 사람들이 많은데, 원장님을 본받아야한다고 생각 들었습니다.","아직은 없습니다.","딱히 없습니다.
항상 완벽에 가깝게 준비해 놓으시고, 부족한건 즉시즉시 보충해주셔서, 언제나 감사한 마음을 갖고 있습니다.","딱히 없습니다."
"2018/06/07 4:08:32 오후 GMT+9","매우 그렇습니다.","매우 그렇습니다.","빠짐없이 꼼꼼하게 수행되고 있습니다.","그렇지 않습니다.","그렇습니다.","매우 그렇습니다.","매우 그렇습니다.","매우 그렇습니다.","매우 그렇습니다.","살짝 느리거나 빠르지만 따라갈만 합니다.","매우 그렇습니다.","그렇습니다.","매우 좋습니다.","그렇지 않습니다.","그렇습니다.","열심히 하겠습니다","항강 신경써주셔서 감사합니다","좋은 분위기인 것 같습니다","개인 사물함이 있으면 좋을 것 같습니다","10번항목을 빠른지 느린지 명확하게하면 더 좋을 것 같습니다"
"2018/06/07 4:10:17 오후 GMT+9","그렇습니다.","매우 그렇습니다.","빠짐없이 꼼꼼하게 수행되고 있습니다.","매우 그렇지 않습니다.","매우 그렇습니다.","매우 그렇습니다.","매우 그렇습니다.","매우 그렇습니다.","매우 그렇습니다.","적당합니다","매우 그렇습니다.","보통이다","매우 좋습니다.","그렇습니다.","매우 그렇습니다.","없습니다","없습니다","아니오","아니오","개인 사물함이 아직 나오지 않아 책 또는 개인물품 보관이 힘듭니다."
"2018/06/07 4:13:31 오후 GMT+9","매우 그렇습니다.","보통이다.","빠짐없이 꼼꼼하게 수행되고 있습니다.","보통이다","매우 그렇습니다.","매우 그렇습니다.","그렇습니다.","매우 그렇습니다.","그렇습니다.","빠르거나 느려 따라가기 힘듭니다.","매우 그렇습니다.","보통이다","좋습니다.","매우 그렇습니다.","매우 그렇습니다.","하루정도는 일주일배운내용을 다시한번확인하는 날이되었으면 좋겟습니다
항상고생하십니다~","항상고생하십니다~","없습니다","없습니다","없습니다"
"2018/06/07 4:20:30 오후 GMT+9","매우 그렇습니다.","매우 그렇습니다.","빠짐없이 꼼꼼하게 수행되고 있습니다.","매우 그렇지 않습니다.","매우 그렇습니다.","그렇습니다.","매우 그렇습니다.","매우 그렇습니다.","매우 그렇습니다.","적당합니다","매우 그렇습니다.","매우 그렇습니다.","매우 좋습니다.","매우 그렇습니다.","매우 그렇습니다.","없습니다","없습니다","없습니다","없습니다","없습니다"
"2018/06/07 4:23:32 오후 GMT+9","그렇습니다.","그렇습니다.","적절히 수행되고 있습니다.","매우 그렇지 않습니다.","매우 그렇습니다.","매우 그렇습니다.","매우 그렇습니다.","그렇습니다.","그렇습니다.","살짝 느리거나 빠르지만 따라갈만 합니다.","그렇습니다.","그렇습니다.","매우 좋습니다.","매우 그렇습니다.","매우 그렇습니다.","없습니다","없습니다","아니오","아니오","없습니다"
"2018/06/07 4:26:12 오후 GMT+9","보통입니다.","보통이다.","보통이다","보통이다","보통이다","보통이다","보통이다","보통이다","보통이다","살짝 느리거나 빠르지만 따라갈만 합니다.","그렇습니다.","보통이다","나쁩니다.","보통이다","보통이다","알피지말고 다른거 예제 게임좀 만들어줘요","얼굴좀봐요","수업내에 취식 못하게 해주세요 자꾸 옆에서 트름하고 쩝쩝 거려서 스트레스 받네요","없습니다","없습니다"
"2018/06/07 4:27:41 오후 GMT+9","그렇습니다.","그렇습니다.","보통이다","보통이다","매우 그렇습니다.","매우 그렇습니다.","그렇습니다.","그렇습니다.","그렇습니다.","빠르거나 느려 따라가기 힘듭니다.","보통이다","보통이다","좋습니다.","보통이다","그렇습니다.","중간점검 해주세요한명씩 ","오티하고싶습니다","없음","없음","없음"
"2018/06/07 4:34:34 오후 GMT+9","그렇습니다.","그렇습니다.","적절히 수행되고 있습니다.","그렇지 않습니다.","매우 그렇습니다.","매우 그렇습니다.","매우 그렇습니다.","매우 그렇습니다.","매우 그렇습니다.","빠르거나 느려 따라가기 힘듭니다.","매우 그렇습니다.","그렇습니다.","매우 좋습니다.","매우 그렇지 않습니다.","매우 그렇습니다.","딱히 없습니다","사물함 좀 주세요...","딱히 없습니다","사물함 좀 주세요...","사물함 좀 주세요..."
"2018/06/07 5:19:49 오후 GMT+9","매우 그렇습니다.","매우 그렇습니다.","적절히 수행되고 있습니다.","매우 그렇지 않습니다.","매우 그렇습니다.","매우 그렇습니다.","매우 그렇습니다.","매우 그렇습니다.","매우 그렇습니다.","매우 적당합니다.","매우 그렇습니다.","매우 그렇습니다.","매우 좋습니다.","그렇습니다.","매우 그렇습니다.","중간 중간 어려운 것들을 아무렇지 않게 알려주셔서 도움이 돼 좋습니다. 배우는 게 재밌어요","사물함이 필요합니다!","없습니다","사물함이 필요합니다!","없습니다"
"2018/06/07 5:53:22 오후 GMT+9","매우 그렇습니다.","매우 그렇습니다.","빠짐없이 꼼꼼하게 수행되고 있습니다.","매우 그렇지 않습니다.","매우 그렇습니다.","매우 그렇습니다.","매우 그렇습니다.","매우 그렇습니다.","매우 그렇습니다.","매우 적당합니다.","매우 그렇습니다.","매우 그렇습니다.","매우 좋습니다.","매우 그렇습니다.","매우 그렇습니다.","항상 잘 배우고 있습니다. 부족하더라도 노력하는 제자 되겠사옵니다. 펄어비스 보내주세요~ㅋㅋ","기술만을 가르치는것이 아니라 제자로서 인성과 다른것들도 같이 기를수 있도록 해주는시는것 같아서 좋은 것 같습니다. 감사합니다","아직 못봤습니다","개인 사물함이 시급합니다","없습니다"
"2018/06/07 5:55:42 오후 GMT+9","매우 그렇습니다.","매우 그렇습니다.","적절히 수행되고 있습니다.","그렇지 않습니다.","보통이다","매우 그렇습니다.","매우 그렇습니다.","매우 그렇습니다.","매우 그렇습니다.","빠르거나 느려 따라가기 힘듭니다.","그렇습니다.","그렇습니다.","좋습니다.","보통이다","그렇습니다.",".",".","없음","개인 사물함 언제 가능한가요","."
"2018/06/07 6:12:43 오후 GMT+9","매우 그렇습니다.","보통이다.","빠짐없이 꼼꼼하게 수행되고 있습니다.","매우 그렇지 않습니다.","매우 그렇습니다.","매우 그렇습니다.","매우 그렇습니다.","매우 그렇습니다.","매우 그렇습니다.","적당합니다","매우 그렇습니다.","매우 그렇습니다.","매우 좋습니다.","보통이다","매우 그렇습니다."," 학원 생활 하면서 점점 친해지고 있는 사람들이 늘고 있는데 오히려 역효과로 공부 보다 사람을 신경쓰게 되고 있습니다. 파벌이 생기게 되는 행동을 하진 않을까 스스로 경계 하고 있는데 이 고민 자체가 살짝 스트레스로 다가옵니다. 사람관계에서 중간위치를 잡으면서 공부나 신경 쓰고 싶습니다.","열심히 하겠습니다 ","아직 없습니다 ","자습실에 인터넷이 연결 안되어 있는 자리들이 있습니다. 또는 연결 되었다가 갑자기 끊어지는 현상도 발생합니다. 실장님에게 보고 했습니다.","아직 없습니다 수고하세요!"
"2018/06/07 6:18:12 오후 GMT+9","매우 그렇습니다.","매우 그렇습니다.","빠짐없이 꼼꼼하게 수행되고 있습니다.","매우 그렇지 않습니다.","매우 그렇습니다.","매우 그렇습니다.","매우 그렇습니다.","매우 그렇습니다.","그렇습니다.","살짝 느리거나 빠르지만 따라갈만 합니다.","매우 그렇습니다.","매우 그렇습니다.","매우 좋습니다.","보통이다","매우 그렇습니다.","강의실에 방향제 부탁드려요","사물함 부탁드려요","아녀","아녀","없음"
"2018/06/07 6:29:22 오후 GMT+9","매우 그렇습니다.","보통이다.","적절히 수행되고 있습니다.","그렇지 않습니다.","그렇습니다.","보통이다","매우 그렇습니다.","매우 그렇습니다.","매우 그렇습니다.","살짝 느리거나 빠르지만 따라갈만 합니다.","그렇습니다.","보통이다","매우 좋습니다.","매우 그렇습니다.","매우 그렇습니다.","개인사물함 부탁드립니다","개인사물함 부탁드립니다","없습니다","없습니다","없습니다"